date_of_sale,address,postal_code,cities,price,description
2021-01-06,"4 Shackleton Links, Shackleton Park, Lucan",Unknown,Dublin,400000.0,New Dwelling house /Apartment
2021-01-06,"42 AIDAN PARK, SHANNON, CLARE",Unknown,Clare,143000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"42 The Lawn, Janeville, Cork Road",Unknown,Cork,325991.0,New Dwelling house /Apartment
2021-01-06,"42, Seoid Na Tra, Bettystown",Unknown,Meath,284141.0,New Dwelling house /Apartment
2021-01-06,"45 FOXHOLLOW, Golf Links Road, Castletroy",Unknown,Limerick,528634.36,New Dwelling house /Apartment
2021-01-06,"47 BESSBOROUGH AVE, NORTH STRAND, DUBLIN 3",Dublin 3,Dublin,277500.0,Second-Hand Dwelling house /Apartment
2021-01-06,"48 ASHTOWN GROVE, NAVAN ROAD, DUBLIN 7",Dublin 7,Dublin,560000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"48 The Way, Ledwill Park, Kilcock",Unknown,Kildare,281938.0,New Dwelling house /Apartment
2021-01-06,"5 THE LODGE, CASTLEDARGAN, BALLYGAWLEY",Unknown,Sligo,249000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"51 GRIFFITH HALL, GLANDORE RD, DUBLIN 9",Dublin 9,Dublin,305000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"53 NEWTOWN PARK, ANNACOTTY, LIMERICK",Unknown,Limerick,227000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"54 BELTON PARK RD, DONNYCARNEY, DUBLIN 9",Dublin 9,Dublin,446000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"54 CARRICK FERN, CAVAN, CAVAN",Unknown,Cavan,233000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"6 AN SRAIDE BHAILE, SHANAVOHER BEEWNG, CORK",Unknown,Cork,192500.0,Second-Hand Dwelling house /Apartment
2021-01-06,"6 NEWHAVEN CLOSE, BALBRIGGAN, DUBLIN",Unknown,Dublin,207000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"67 CLONLIFFE RD, BALLYBOUGH, DUBLIN 3",Dublin 3,Dublin,620000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"7 CAIRNBROOK VIEW, CAIRNBROOK, CARRICKMINES DUBLIN 18",Dublin 18,Dublin,422000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"7 GLENABO HEIGHTS, FERMOY, CO CORK",Unknown,Cork,298500.0,Second-Hand Dwelling house /Apartment
2021-01-06,"7 WAINSFORT GROVE, TERENURE, DUBLIN 6W",Unknown,Dublin,605000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"7 WESTMINSTER WOOD, FOXROCK, DUBLIN 18",Unknown,Dublin,436714.0,New Dwelling house /Apartment
2021-01-06,"72 HOME VILLAS, DONNYBROOK, DUBLIN 4",Dublin 4,Dublin,506000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"75 Abboyyfield, Ballinagappa Road, Clane",Unknown,Kildare,396475.77,New Dwelling house /Apartment
2021-01-06,"8 PARKMORE, BALTINGLASS, CO WICKLOW",Unknown,Wicklow,120000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"9 DEAN COGAN PLACE, KELLS RD, NAVAN",Unknown,Meath,231000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"95 MEADOW PARK, CHURCHTOWN UPPER, CHURCHTOWN DUBLIN 14",Dublin 14,Dublin,498000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"APT 1 1 THE EMPRESS PLACE, SUMMER HILL NORTH, CORK",Unknown,Cork,400000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"APT 40 THE GROVE, CLARION ROAD, SLIGO",Unknown,Sligo,74000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"AULLAGH, DUNMANWAY, CORK",Unknown,Cork,290000.0,Second-Hand Dwelling house /Apartment
